Number,Study name,Subgroup within study,Ego-Depletion Mean ,Ego-Depletion Std-Dev ,Ego-Depletion Sample size ,Control Mean ,Control Std-Dev ,Control Sample size ,Effect direction,Std diff in means,Std Err,Hedges's g,Std Err,Difference in means,Std Err,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS
1,Birt & Muise,English,0.888,0.207,50,0.849,0.239,49,1,0.17456798,0.201400279,0.17321474,0.199839036,0.039,4.49E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Calvillo & Mills,English,0.934,0.224,64,0.848,0.247,66,1,0.364468517,0.176882526,0.36232878,0.175844076,8.60E-02,4.14E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Carruth & Miyake,English,0.941,0.221,87,0.906,0.215,91,1,0.160585482,0.150185556,0.159900195,0.14954465,3.50E-02,3.27E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Crowell, Finley & Schmeichel",English,0.832,0.216,63,0.845,0.238,64,1,-5.72E-02,0.177513064,-5.68E-02,0.176445851,-0.013,4.04E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Evans & Fay,English,0.855,0.271,79,0.922,0.244,80,1,-0.259923897,0.159281769,-0.258680242,0.158519656,-6.70E-02,4.09E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Francis & Inzlicht,English,0.789,0.215,54,0.789,0.207,55,1,0,0.191573319,0,0.190227371,0,4.04E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Hagger, Chatzisarantis & Zweinenberg",English,0.954,0.162,54,0.917,0.169,63,1,0.223146127,0.186022391,0.221687655,0.184806559,3.70E-02,3.07E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lau & Brewer,English,0.923,0.201,65,0.873,0.198,65,1,0.250619482,0.176098859,0.249148135,0.175065011,0.05,3.50E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Lynch, vanDellen & Campbell",English,0.815,0.237,71,0.766,0.221,68,1,0.213680148,0.170160604,0.212508228,0.169227365,4.90E-02,0.038909502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Philipp & Cannon,English,0.948,0.158,43,0.949,0.207,43,1,-5.43E-03,0.215665944,-5.38E-03,0.213734607,-0.001,3.97E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ringos & Carlucci,English,0.943,0.223,47,0.885,0.219,49,1,0.262483234,0.205045361,0.260383368,0.203404998,5.80E-02,0.045114388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tinghög & Koppel,English,0.855,0.147,49,0.862,0.189,51,1,-4.12E-02,0.200061267,-4.09E-02,0.19852627,-7.00E-03,3.40E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Brandt,Non-English,0.857,0.177,75,0.864,0.198,71,1,-0.037332869,0.165597746,-3.71E-02,0.164733758,-7.00E-03,3.10E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Cheung, Kroese, Fennis & de Ridder",Non-English,0.966,0.177,101,0.945,0.169,102,1,0.121368804,0.140503357,0.120915371,0.139978438,0.021,2.43E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Elson,Non-English,1,0.192,50,0.956,0.18,52,1,0.236588684,0.198759031,0.234809822,0.197264603,0.044,3.68E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Lange, Heise & Hoemann",Non-English,0.878,0.153,60,0.875,0.188,60,1,1.75E-02,0.182577682,1.74E-02,0.181414767,0.003,3.13E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Muller, Zerhouni & Batailler",Non-English,1.009,0.188,54,1.068,0.173,55,1,-0.326714678,0.192847041,-0.324419259,0.191492143,-5.90E-02,0.034595403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe",Non-English,0.881,0.173,48,0.919,0.182,50,1,-0.213902866,0.202649388,-0.212227387,0.201062056,-0.038,3.59E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Rentzsch, Nalis & Schütz",Non-English,0.904,0.153,62,0.896,0.141,58,1,5.43E-02,0.182709326,5.40E-02,0.181545572,8.00E-03,2.69E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Schlinkert, Schrama & Koole",Non-English,0.948,0.185,53,0.898,0.188,52,1,0.268108779,0.196063741,0.266151781,0.194632619,5.00E-02,3.64E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Stamos, Bruyneel & DeWitte",Non-English,0.908,0.204,59,0.916,0.2,56,1,-3.96E-02,0.186582718,-3.93E-02,0.185341591,-8.00E-03,3.77E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ullrich & Primoceri,Non-English,0.916,0.185,57,0.875,0.122,57,1,0.261648536,0.188116938,0.259892506,0.186854408,0.041,2.94E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Wolff, Muzzi & Brand",Non-English,0.901,0.198,53,0.917,0.158,55,1,-8.95E-02,0.192579433,-8.89E-02,0.191213622,-0.016,3.44E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Yusainy, Wimbarti, Nurwanti & Anggono",Non-English,0.896,0.174,99,0.86,0.184,99,1,0.201038903,0.142492394,0.200268639,0.141946446,0.036,2.55E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
